Entry ID,[Str. Pos.],[Str. Size],[Str. Encoding],Str. Value,[Str. Data]
2216,0x3541ec,25,Shift_JIS,ボス戦闘用BGM(チャンス2),"""\x83{\x83X\x90\xED\x93\xAC\x97pBGM(\x83`\x83\x83\x83\x93\x83X2)"""
2217,0x35422c,8,Shift_JIS,\\sound\\,"""\\sound\\"""
2218,0x35424c,4,Shift_JIS,M60,"""M60"""
2219,0x354274,21,Shift_JIS,ボス戦闘用BGM(間奏1),"""\x83{\x83X\x90\xED\x93\xAC\x97pBGM(\x8A\xD4\x91t1)"""
2220,0x3542b4,8,Shift_JIS,\\sound\\,"""\\sound\\"""
2221,0x3542d4,4,Shift_JIS,M60,"""M60"""
2222,0x3542fc,21,Shift_JIS,ボス戦闘用BGM(間奏2),"""\x83{\x83X\x90\xED\x93\xAC\x97pBGM(\x8A\xD4\x91t2)"""
2223,0x35433c,8,Shift_JIS,\\sound\\,"""\\sound\\"""
2224,0x35435c,4,Shift_JIS,M60,"""M60"""
2225,0x354384,21,Shift_JIS,ボス戦闘用BGM(間奏3),"""\x83{\x83X\x90\xED\x93\xAC\x97pBGM(\x8A\xD4\x91t3)"""
2226,0x3543c4,8,Shift_JIS,\\sound\\,"""\\sound\\"""
2227,0x3543e4,4,Shift_JIS,M60,"""M60"""
2228,0x35440c,21,Shift_JIS,ボス戦闘用BGM(間奏4),"""\x83{\x83X\x90\xED\x93\xAC\x97pBGM(\x8A\xD4\x91t4)"""
2229,0x35444c,8,Shift_JIS,\\sound\\,"""\\sound\\"""
2230,0x35446c,4,Shift_JIS,M60,"""M60"""
2231,0x354494,21,Shift_JIS,ボス戦闘用BGM(間奏5),"""\x83{\x83X\x90\xED\x93\xAC\x97pBGM(\x8A\xD4\x91t5)"""
2232,0x3544d4,8,Shift_JIS,\\sound\\,"""\\sound\\"""
2233,0x3544f4,4,Shift_JIS,M60,"""M60"""
2234,0x35451c,21,Shift_JIS,ボス戦闘用BGM(間奏6),"""\x83{\x83X\x90\xED\x93\xAC\x97pBGM(\x8A\xD4\x91t6)"""
2235,0x35455c,8,Shift_JIS,\\sound\\,"""\\sound\\"""
2236,0x35457c,4,Shift_JIS,M60,"""M60"""
2237,0x3545a4,19,Shift_JIS,軍施設系ダンジョン,"""\x8CR\x8E{\x90\xDD\x8Cn\x83_\x83\x93\x83W\x83\x87\x83\x93"""
2238,0x3545e4,8,Shift_JIS,\\sound\\,"""\\sound\\"""
2239,0x354604,4,Shift_JIS,M52,"""M52"""
2240,0x35462c,17,Shift_JIS,ファイナのテーマ,"""\x83t\x83@\x83C\x83i\x82\xCC\x83e\x81[\x83}"""
2241,0x35466c,8,Shift_JIS,\\sound\\,"""\\sound\\"""
2242,0x35468c,4,Shift_JIS,M09,"""M09"""
2243,0x3546b4,19,Shift_JIS,あせり・ピンチ　２,"""\x82\xA0\x82\xB9\x82\xE8\x81E\x83s\x83\x93\x83`\x81@\x82Q"""
2244,0x3546f4,8,Shift_JIS,\\sound\\,"""\\sound\\"""
2245,0x354714,4,Shift_JIS,M26,"""M26"""
2246,0x35473c,17,Shift_JIS,冒頭襲撃イベント,"""\x96`\x93\xAA\x8FP\x8C\x82\x83C\x83x\x83\x93\x83g"""
2247,0x35477c,8,Shift_JIS,\\sound\\,"""\\sound\\"""
2248,0x35479c,4,Shift_JIS,M68,"""M68"""
2249,0x3547c4,21,Shift_JIS,軍施設系ダンジョン２,"""\x8CR\x8E{\x90\xDD\x8Cn\x83_\x83\x93\x83W\x83\x87\x83\x93\x82Q"""
2250,0x354804,8,Shift_JIS,\\sound\\,"""\\sound\\"""
2251,0x354824,4,Shift_JIS,M69,"""M69"""
2252,0x35484c,28,Shift_JIS,ボス戦闘用BGM(通常スタート),"""\x83{\x83X\x90\xED\x93\xAC\x97pBGM(\x92\xCA\x8F\xED\x83X\x83^\x81[\x83g)"""
2253,0x35488c,8,Shift_JIS,\\sound\\,"""\\sound\\"""
2254,0x3548ac,4,Shift_JIS,M60,"""M60"""
2255,0x3548d4,30,Shift_JIS,ボス戦闘用BGM(ピンチスタート),"""\x83{\x83X\x90\xED\x93\xAC\x97pBGM(\x83s\x83\x93\x83`\x83X\x83^\x81[\x83g)"""
2256,0x354914,8,Shift_JIS,\\sound\\,"""\\sound\\"""
2257,0x354934,4,Shift_JIS,M60,"""M60"""
2258,0x35495c,28,Shift_JIS,ボス戦闘用BGM(通常->ピンチ),"""\x83{\x83X\x90\xED\x93\xAC\x97pBGM(\x92\xCA\x8F\xED->\x83s\x83\x93\x83`)"""
2259,0x35499c,8,Shift_JIS,\\sound\\,"""\\sound\\"""
2260,0x3549bc,4,Shift_JIS,M60,"""M60"""
2261,0x3549e4,30,Shift_JIS,ボス戦闘用BGM(通常->チャンス),"""\x83{\x83X\x90\xED\x93\xAC\x97pBGM(\x92\xCA\x8F\xED->\x83`\x83\x83\x83\x93\x83X)"""
2262,0x354a24,8,Shift_JIS,\\sound\\,"""\\sound\\"""
2263,0x354a44,4,Shift_JIS,M60,"""M60"""
